Cod_Loja;Nome_Fantasia
1;SONEDA LJ01 - FRANCO 1
2;SONEDA LJ02 - CACHOEIRINHA
3;SONEDA LJ03 - MOOCA SP
4;SONEDA LJ04 - SANTANA SP
5;SONEDA LJ05 - PRACA
6;SONEDA LJ06 - RIO CLARO
7;SONEDA LJ07 - PINHEIROS
8;SONEDA LJ08 - SANTO ANDRE
9;SONEDA LJ09 - SANTO AMARO
10;SONEDA LJ10 - CENTRO GC
11;SONEDA LJ11 - GUARULHOS 1
12;SONEDA LJ12 - MAUA
13;SONEDA LJ13 - SANTOS
14;SONEDA LJ14 - TUCURUVI
15;SONEDA LJ15 - ATIBAIA
16;SONEDA LJ16 - FRANCO 2
17;SONEDA LJ17 - MOOCA 2
18;SONEDA LJ18 - GUARUJA
19;SONEDA LJ19 - SAO BERNARDO
20;SONEDA LJ20 - AMPARO
21;SONEDA LJ21 - ANA ROSA SP
22;SONEDA LJ22 - BRAS ORIENTE
23;SONEDA LJ23 - MAIRIPORA
26;SONEDA LJ26 - VILA MARIA SP
28;SONEDA LJ28 - SHOP MAIA
29;SONEDA LJ29 - FERRAZ
30;SONEDA LJ30 - CAIEIRAS
31;SONEDA LJ31 - FARIA LIMA SP
32;SONEDA LJ32 - SH INTERNACIONAL
33;SONEDA LJ33 - DIADEMA
34;SONEDA LJ34 - AUGUSTA SP
36;SONEDA LJ36 - VERGUEIRO SP
37;SONEDA LJ37 - NOVA CACHOEIRINH
38;SONEDA LJ38 - PAULISTA SP
39;SONEDA LJ39 - SHOP. LIGHT SP
40;SONEDA LJ40 - SHOP ITAQUERA SP
41;SONEDA LJ41 - SHOP. GOLDEN
42;SONEDA LJ42 - SHOP. BONSUCESSO
43;SONEDA LJ43 - SHOP. TABOÃO
44;SONEDA LJ44 - MOEMA SP
45;SONEDA LJ45 - ITAIM
46;SONEDA LJ46
47;SONEDA LJ47 - SANTO AMARO SP-2
48;SONEDA LJ48 - CONCEIÇÃO
50;SONEDA LJ50 - SHOP.ARACATUBA
51;SONEDA LJ51 - SHOP. BAURU SP
52;SONEDA LJ52 - SAO JUDAS
54;SONEDA LJ54 - SHOP. CAMPINAS
55;SONEDA LJ55 - SHOP. ITUPEVA SP
56;SONEDA LJ56 - SACOMA SP
57;SONEDA LJ57 - SHOP PRAIA GRAND
58;SONEDA LJ58 - VILA DAS MERCES
59;SONEDA LJ59 - SHOP ESP. SANTO
60;SONEDA LJ60 - SHOP. IBIRAPUERA
61;SONEDA LJ61- RIBEIRAO PRETO   
800;SONEDA CD PAULISTA
997;SONEDA ECOMMERCE
